ProteinID	Length	Start	End	Domain	Tool
XP_025884750.1	191aa	149	339	NB-ARC	Pfam_Scan
XP_025884979.1	204aa	177	380	NB-ARC	Pfam_Scan
XP_025886702.1	223aa	108	330	NB-ARC	Pfam_Scan
XP_025886703.1	223aa	108	330	NB-ARC	Pfam_Scan
XP_025886704.1	99aa	107	205	NB-ARC	Pfam_Scan
XP_025888012.1	218aa	190	407	NB-ARC	Pfam_Scan
XP_025888331.1	165aa	191	355	NB-ARC	Pfam_Scan
XP_025888661.1	223aa	206	428	NB-ARC	Pfam_Scan
XP_025888731.1	214aa	201	414	NB-ARC	Pfam_Scan
XP_025888869.1	226aa	205	430	NB-ARC	Pfam_Scan
NP_001316454.1	20aa	611	630	LRR	DeepLRR
NP_001316454.1	20aa	636	655	LRR	DeepLRR
NP_001316454.1	20aa	656	675	LRR	DeepLRR
NP_001316454.1	20aa	679	698	LRR	DeepLRR
NP_001316454.1	20aa	703	722	LRR	DeepLRR
NP_001316454.1	20aa	725	744	LRR	DeepLRR
NP_001316454.1	20aa	748	767	LRR	DeepLRR
NP_001316454.1	20aa	772	791	LRR	DeepLRR
NP_001316454.1	20aa	796	815	LRR	DeepLRR
NP_001316454.1	23aa	819	841	LRR	DeepLRR
NP_001316454.1	20aa	844	863	LRR	DeepLRR
NP_001316454.1	27aa	872	898	LRR	DeepLRR
NP_001316454.1	20aa	899	918	LRR	DeepLRR
NP_001316454.1	20aa	920	939	LRR	DeepLRR
XP_004228499.1	20aa	430	449	LRR	DeepLRR
XP_004228499.1	20aa	459	478	LRR	DeepLRR
XP_004228499.1	20aa	479	498	LRR	DeepLRR
XP_004228499.1	20aa	559	578	LRR	DeepLRR
XP_004228499.1	20aa	581	600	LRR	DeepLRR
XP_004228499.1	20aa	603	622	LRR	DeepLRR
XP_004228499.1	20aa	627	646	LRR	DeepLRR
XP_004228499.1	20aa	650	669	LRR	DeepLRR
XP_004228499.1	20aa	674	693	LRR	DeepLRR
XP_004228499.1	20aa	696	715	LRR	DeepLRR
XP_004228499.1	25aa	741	765	LRR	DeepLRR
XP_004228499.1	20aa	767	786	LRR	DeepLRR
XP_004228499.1	20aa	790	809	LRR	DeepLRR
XP_004228499.1	20aa	846	865	LRR	DeepLRR
XP_004228499.1	20aa	871	890	LRR	DeepLRR
XP_004228499.1	20aa	894	913	LRR	DeepLRR
XP_004228499.1	20aa	918	937	LRR	DeepLRR
XP_004228499.1	20aa	943	962	LRR	DeepLRR
XP_004228499.1	21aa	966	986	LRR	DeepLRR
XP_004228499.1	20aa	989	1008	LRR	DeepLRR
XP_004228499.1	20aa	1013	1032	LRR	DeepLRR
XP_004228809.1	22aa	552	573	LRR	DeepLRR
XP_004228809.1	20aa	574	593	LRR	DeepLRR
XP_004228809.1	20aa	597	616	LRR	DeepLRR
XP_004228809.1	20aa	621	640	LRR	DeepLRR
XP_004228809.1	21aa	644	664	LRR	DeepLRR
XP_004228809.1	20aa	668	687	LRR	DeepLRR
XP_004228809.1	20aa	691	710	LRR	DeepLRR
XP_004228809.1	20aa	714	733	LRR	DeepLRR
XP_004228809.1	23aa	737	759	LRR	DeepLRR
XP_004228809.1	21aa	783	803	LRR	DeepLRR
XP_004228809.1	20aa	807	826	LRR	DeepLRR
XP_004228809.1	20aa	831	850	LRR	DeepLRR
XP_004228809.1	20aa	854	873	LRR	DeepLRR
XP_004228809.1	20aa	881	900	LRR	DeepLRR
XP_004228809.1	21aa	908	928	LRR	DeepLRR
XP_004230402.1	20aa	164	183	LRR	DeepLRR
XP_004230402.1	25aa	186	210	LRR	DeepLRR
XP_004230402.1	20aa	212	231	LRR	DeepLRR
XP_004230402.1	24aa	630	653	LRR	DeepLRR
XP_004230402.1	20aa	654	673	LRR	DeepLRR
XP_004230402.1	27aa	675	701	LRR	DeepLRR
XP_004230402.1	20aa	703	722	LRR	DeepLRR
XP_004230402.1	20aa	725	744	LRR	DeepLRR
XP_004230402.1	20aa	750	769	LRR	DeepLRR
XP_004230402.1	20aa	772	791	LRR	DeepLRR
XP_004230402.1	21aa	822	842	LRR	DeepLRR
XP_004230402.1	20aa	847	866	LRR	DeepLRR
XP_004230402.1	28aa	870	897	LRR	DeepLRR
XP_004231293.2	20aa	598	617	LRR	DeepLRR
XP_004231293.2	20aa	622	641	LRR	DeepLRR
XP_004231293.2	22aa	643	664	LRR	DeepLRR
XP_004231293.2	23aa	666	688	LRR	DeepLRR
XP_004231293.2	20aa	689	708	LRR	DeepLRR
XP_004231293.2	21aa	713	733	LRR	DeepLRR
XP_004231293.2	20aa	736	755	LRR	DeepLRR
XP_004231293.2	29aa	759	787	LRR	DeepLRR
XP_004231293.2	20aa	810	829	LRR	DeepLRR
XP_004231293.2	20aa	835	854	LRR	DeepLRR
XP_004231293.2	20aa	858	877	LRR	DeepLRR
XP_004231293.2	20aa	878	897	LRR	DeepLRR
XP_004231677.2	20aa	655	674	LRR	DeepLRR
XP_004231677.2	20aa	681	700	LRR	DeepLRR
XP_004231677.2	29aa	705	733	LRR	DeepLRR
XP_004231677.2	28aa	738	765	LRR	DeepLRR
XP_004233763.1	20aa	560	579	LRR	DeepLRR
XP_004233763.1	24aa	580	603	LRR	DeepLRR
XP_004233763.1	20aa	604	623	LRR	DeepLRR
XP_004233763.1	20aa	627	646	LRR	DeepLRR
XP_004233763.1	21aa	650	670	LRR	DeepLRR
XP_004233763.1	21aa	674	694	LRR	DeepLRR
XP_004233763.1	20aa	697	716	LRR	DeepLRR
XP_004233763.1	25aa	719	743	LRR	DeepLRR
XP_004237202.1	20aa	562	581	LRR	DeepLRR
XP_004237202.1	21aa	584	604	LRR	DeepLRR
XP_004237202.1	20aa	606	625	LRR	DeepLRR
XP_004237202.1	20aa	629	648	LRR	DeepLRR
XP_004237202.1	20aa	652	671	LRR	DeepLRR
XP_004237202.1	20aa	676	695	LRR	DeepLRR
XP_004237202.1	20aa	698	717	LRR	DeepLRR
XP_004237202.1	25aa	721	745	LRR	DeepLRR
XP_004237202.1	20aa	746	765	LRR	DeepLRR
XP_004237202.1	21aa	770	790	LRR	DeepLRR
XP_004237202.1	20aa	793	812	LRR	DeepLRR
XP_004237202.1	28aa	815	842	LRR	DeepLRR
XP_004237202.1	21aa	863	883	LRR	DeepLRR
XP_004237202.1	20aa	888	907	LRR	DeepLRR
XP_004237202.1	27aa	910	936	LRR	DeepLRR
XP_004237202.1	27aa	942	968	LRR	DeepLRR
XP_004237584.1	20aa	562	581	LRR	DeepLRR
XP_004237584.1	20aa	582	601	LRR	DeepLRR
XP_004237584.1	20aa	605	624	LRR	DeepLRR
XP_004237584.1	20aa	628	647	LRR	DeepLRR
XP_004237584.1	20aa	651	670	LRR	DeepLRR
XP_004237584.1	20aa	675	694	LRR	DeepLRR
XP_004237584.1	20aa	698	717	LRR	DeepLRR
XP_004237584.1	20aa	745	764	LRR	DeepLRR
XP_004237584.1	20aa	769	788	LRR	DeepLRR
XP_004237584.1	20aa	792	811	LRR	DeepLRR
XP_004237584.1	24aa	863	886	LRR	DeepLRR
XP_004237584.1	20aa	888	907	LRR	DeepLRR
XP_004237584.1	20aa	912	931	LRR	DeepLRR
XP_004239367.1	22aa	664	685	LRR	DeepLRR
XP_004239367.1	21aa	686	706	LRR	DeepLRR
XP_004239367.1	23aa	710	732	LRR	DeepLRR
XP_004239367.1	20aa	734	753	LRR	DeepLRR
XP_004239367.1	22aa	758	779	LRR	DeepLRR
XP_004239367.1	20aa	781	800	LRR	DeepLRR
XP_004239367.1	22aa	805	826	LRR	DeepLRR
XP_004239367.1	23aa	828	850	LRR	DeepLRR
XP_004239367.1	22aa	852	873	LRR	DeepLRR
XP_004239367.1	20aa	875	894	LRR	DeepLRR
XP_004239367.1	20aa	899	918	LRR	DeepLRR
XP_004239367.1	20aa	922	941	LRR	DeepLRR
XP_004239367.1	20aa	946	965	LRR	DeepLRR
XP_004239367.1	20aa	969	988	LRR	DeepLRR
XP_004239367.1	27aa	991	1017	LRR	DeepLRR
XP_004239367.1	20aa	1081	1100	LRR	DeepLRR
XP_004239367.1	20aa	1104	1123	LRR	DeepLRR
XP_004239367.1	24aa	1146	1169	LRR	DeepLRR
XP_004239367.1	20aa	1171	1190	LRR	DeepLRR
XP_004239367.1	21aa	1195	1215	LRR	DeepLRR
XP_004243783.1	20aa	627	646	LRR	DeepLRR
XP_004243783.1	20aa	650	669	LRR	DeepLRR
XP_004243783.1	20aa	674	693	LRR	DeepLRR
XP_004243783.1	20aa	697	716	LRR	DeepLRR
XP_004243783.1	25aa	719	743	LRR	DeepLRR
XP_004243783.1	20aa	744	763	LRR	DeepLRR
XP_004243783.1	20aa	768	787	LRR	DeepLRR
XP_004243783.1	21aa	792	812	LRR	DeepLRR
XP_004243783.1	25aa	813	837	LRR	DeepLRR
XP_004243783.1	21aa	853	873	LRR	DeepLRR
XP_004243783.1	20aa	878	897	LRR	DeepLRR
XP_004243783.1	22aa	902	923	LRR	DeepLRR
XP_004250576.1	24aa	590	613	LRR	DeepLRR
XP_004250576.1	20aa	614	633	LRR	DeepLRR
XP_004250576.1	20aa	637	656	LRR	DeepLRR
XP_004250576.1	21aa	774	794	LRR	DeepLRR
XP_004250576.1	25aa	798	822	LRR	DeepLRR
XP_004250576.1	22aa	823	844	LRR	DeepLRR
XP_010312806.1	24aa	510	533	LRR	DeepLRR
XP_010312806.1	20aa	534	553	LRR	DeepLRR
XP_010312806.1	20aa	557	576	LRR	DeepLRR
XP_010312806.1	21aa	694	714	LRR	DeepLRR
XP_010312806.1	25aa	718	742	LRR	DeepLRR
XP_010312806.1	22aa	743	764	LRR	DeepLRR
XP_010314215.1	20aa	667	686	LRR	DeepLRR
XP_010314215.1	20aa	690	709	LRR	DeepLRR
XP_010314215.1	20aa	713	732	LRR	DeepLRR
XP_010314215.1	20aa	737	756	LRR	DeepLRR
XP_010314215.1	29aa	761	789	LRR	DeepLRR
XP_010314215.1	21aa	841	861	LRR	DeepLRR
XP_010314215.1	20aa	866	885	LRR	DeepLRR
XP_010314215.1	20aa	889	908	LRR	DeepLRR
XP_010314215.1	20aa	909	928	LRR	DeepLRR
XP_010314215.1	20aa	931	950	LRR	DeepLRR
XP_010315688.1	25aa	668	692	LRR	DeepLRR
XP_010315688.1	20aa	697	716	LRR	DeepLRR
XP_010315688.1	20aa	720	739	LRR	DeepLRR
XP_010315688.1	20aa	744	763	LRR	DeepLRR
XP_010315688.1	20aa	768	787	LRR	DeepLRR
XP_010315688.1	25aa	817	841	LRR	DeepLRR
XP_010315688.1	21aa	843	863	LRR	DeepLRR
XP_010315688.1	20aa	868	887	LRR	DeepLRR
XP_010315688.1	20aa	891	910	LRR	DeepLRR
XP_010315688.1	20aa	936	955	LRR	DeepLRR
XP_010315688.1	20aa	956	975	LRR	DeepLRR
XP_010315688.1	20aa	977	996	LRR	DeepLRR
XP_010315689.1	25aa	668	692	LRR	DeepLRR
XP_010315689.1	20aa	693	712	LRR	DeepLRR
XP_010315689.1	20aa	716	735	LRR	DeepLRR
XP_010315689.1	20aa	740	759	LRR	DeepLRR
XP_010315689.1	20aa	764	783	LRR	DeepLRR
XP_010315689.1	25aa	813	837	LRR	DeepLRR
XP_010315689.1	21aa	839	859	LRR	DeepLRR
XP_010315689.1	20aa	864	883	LRR	DeepLRR
XP_010315689.1	20aa	887	906	LRR	DeepLRR
XP_010315689.1	20aa	932	951	LRR	DeepLRR
XP_010315689.1	20aa	952	971	LRR	DeepLRR
XP_010315689.1	20aa	973	992	LRR	DeepLRR
XP_010320639.1	23aa	725	747	LRR	DeepLRR
XP_010320639.1	20aa	749	768	LRR	DeepLRR
XP_010320639.1	24aa	771	794	LRR	DeepLRR
XP_010320639.1	20aa	796	815	LRR	DeepLRR
XP_010320639.1	20aa	818	837	LRR	DeepLRR
XP_010320639.1	20aa	843	862	LRR	DeepLRR
XP_010320639.1	22aa	867	888	LRR	DeepLRR
XP_010320639.1	20aa	890	909	LRR	DeepLRR
XP_010320639.1	20aa	912	931	LRR	DeepLRR
XP_010320639.1	20aa	936	955	LRR	DeepLRR
XP_010320639.1	20aa	960	979	LRR	DeepLRR
XP_010320639.1	23aa	984	1006	LRR	DeepLRR
XP_010320639.1	27aa	1007	1033	LRR	DeepLRR
XP_010320639.1	20aa	1140	1159	LRR	DeepLRR
XP_010320639.1	20aa	1167	1186	LRR	DeepLRR
XP_010320639.1	20aa	1190	1209	LRR	DeepLRR
XP_010320639.1	20aa	1218	1237	LRR	DeepLRR
XP_010320695.1	20aa	611	630	LRR	DeepLRR
XP_010320695.1	20aa	636	655	LRR	DeepLRR
XP_010320695.1	20aa	656	675	LRR	DeepLRR
XP_010320695.1	20aa	679	698	LRR	DeepLRR
XP_010320695.1	20aa	703	722	LRR	DeepLRR
XP_010320695.1	20aa	725	744	LRR	DeepLRR
XP_010320695.1	20aa	748	767	LRR	DeepLRR
XP_010320695.1	20aa	772	791	LRR	DeepLRR
XP_010320695.1	20aa	796	815	LRR	DeepLRR
XP_010320695.1	23aa	819	841	LRR	DeepLRR
XP_010320695.1	20aa	844	863	LRR	DeepLRR
XP_010320695.1	27aa	872	898	LRR	DeepLRR
XP_010320695.1	20aa	899	918	LRR	DeepLRR
XP_010320695.1	20aa	920	939	LRR	DeepLRR
XP_010321493.2	20aa	599	618	LRR	DeepLRR
XP_010321493.2	20aa	619	638	LRR	DeepLRR
XP_010321493.2	20aa	645	664	LRR	DeepLRR
XP_010321493.2	20aa	668	687	LRR	DeepLRR
XP_010321493.2	20aa	692	711	LRR	DeepLRR
XP_010321493.2	20aa	714	733	LRR	DeepLRR
XP_010324492.1	20aa	600	619	LRR	DeepLRR
XP_010324492.1	20aa	623	642	LRR	DeepLRR
XP_010324492.1	20aa	646	665	LRR	DeepLRR
XP_010324492.1	20aa	670	689	LRR	DeepLRR
XP_010324492.1	20aa	692	711	LRR	DeepLRR
XP_010324492.1	25aa	715	739	LRR	DeepLRR
XP_010324492.1	20aa	741	760	LRR	DeepLRR
XP_010324492.1	20aa	765	784	LRR	DeepLRR
XP_010324492.1	20aa	789	808	LRR	DeepLRR
XP_010324492.1	20aa	813	832	LRR	DeepLRR
XP_010324492.1	20aa	845	864	LRR	DeepLRR
XP_010324492.1	20aa	870	889	LRR	DeepLRR
XP_010324492.1	20aa	893	912	LRR	DeepLRR
XP_010324492.1	20aa	916	935	LRR	DeepLRR
XP_010324492.1	20aa	940	959	LRR	DeepLRR
XP_010324492.1	20aa	962	981	LRR	DeepLRR
XP_019066547.1	20aa	633	652	LRR	DeepLRR
XP_019066547.1	20aa	656	675	LRR	DeepLRR
XP_019066547.1	20aa	679	698	LRR	DeepLRR
XP_019066547.1	20aa	703	722	LRR	DeepLRR
XP_019066547.1	21aa	725	745	LRR	DeepLRR
XP_019066547.1	20aa	748	767	LRR	DeepLRR
XP_019066547.1	23aa	773	795	LRR	DeepLRR
XP_019066547.1	20aa	797	816	LRR	DeepLRR
XP_019066547.1	20aa	820	839	LRR	DeepLRR
XP_019066547.1	20aa	872	891	LRR	DeepLRR
XP_019066547.1	20aa	897	916	LRR	DeepLRR
XP_019066547.1	22aa	920	941	LRR	DeepLRR
XP_019066547.1	20aa	1019	1038	LRR	DeepLRR
XP_019066547.1	20aa	1041	1060	LRR	DeepLRR
XP_019066547.1	21aa	1150	1170	LRR	DeepLRR
XP_019066547.1	20aa	1173	1192	LRR	DeepLRR
XP_019066547.1	20aa	1679	1698	LRR	DeepLRR
XP_019066547.1	24aa	1702	1725	LRR	DeepLRR
XP_019066547.1	20aa	1749	1768	LRR	DeepLRR
XP_019066547.1	20aa	1772	1791	LRR	DeepLRR
XP_019066547.1	20aa	1796	1815	LRR	DeepLRR
XP_019066547.1	20aa	1818	1837	LRR	DeepLRR
XP_019066547.1	20aa	1863	1882	LRR	DeepLRR
XP_019066547.1	20aa	1884	1903	LRR	DeepLRR
XP_019066547.1	20aa	1908	1927	LRR	DeepLRR
XP_019066547.1	20aa	1963	1982	LRR	DeepLRR
XP_019066547.1	20aa	1988	2007	LRR	DeepLRR
XP_019066547.1	20aa	2011	2030	LRR	DeepLRR
XP_019066547.1	20aa	2034	2053	LRR	DeepLRR
XP_019066547.1	20aa	2057	2076	LRR	DeepLRR
XP_019066547.1	20aa	2080	2099	LRR	DeepLRR
XP_019066547.1	20aa	2104	2123	LRR	DeepLRR
XP_019066547.1	20aa	2126	2145	LRR	DeepLRR
XP_019066547.1	20aa	2184	2203	LRR	DeepLRR
XP_019066547.1	29aa	2207	2235	LRR	DeepLRR
XP_019066547.1	20aa	2263	2282	LRR	DeepLRR
XP_019066547.1	20aa	2288	2307	LRR	DeepLRR
XP_019066547.1	20aa	2311	2330	LRR	DeepLRR
XP_019066547.1	20aa	2334	2353	LRR	DeepLRR
XP_019066547.1	20aa	2358	2377	LRR	DeepLRR
XP_019066547.1	20aa	2380	2399	LRR	DeepLRR
XP_019066547.1	23aa	2409	2431	LRR	DeepLRR
XP_019066547.1	20aa	2433	2452	LRR	DeepLRR
XP_019066547.1	27aa	2456	2482	LRR	DeepLRR
XP_019066547.1	24aa	2512	2535	LRR	DeepLRR
XP_019066547.1	20aa	2536	2555	LRR	DeepLRR
XP_019066547.1	20aa	2560	2579	LRR	DeepLRR
XP_019066547.1	20aa	2583	2602	LRR	DeepLRR
XP_019066547.1	20aa	2607	2626	LRR	DeepLRR
XP_019066547.1	20aa	2629	2648	LRR	DeepLRR
XP_019066548.2	20aa	561	580	LRR	DeepLRR
XP_019066548.2	20aa	583	602	LRR	DeepLRR
XP_019066548.2	20aa	605	624	LRR	DeepLRR
XP_019066548.2	20aa	630	649	LRR	DeepLRR
XP_019066548.2	20aa	653	672	LRR	DeepLRR
XP_019066548.2	24aa	675	698	LRR	DeepLRR
XP_019066548.2	20aa	699	718	LRR	DeepLRR
XP_019066548.2	20aa	747	766	LRR	DeepLRR
XP_019066548.2	20aa	771	790	LRR	DeepLRR
XP_019066548.2	20aa	794	813	LRR	DeepLRR
XP_019066548.2	20aa	827	846	LRR	DeepLRR
XP_019066548.2	21aa	850	870	LRR	DeepLRR
XP_019066548.2	24aa	873	896	LRR	DeepLRR
XP_019066548.2	20aa	898	917	LRR	DeepLRR
XP_019066548.2	28aa	918	945	LRR	DeepLRR
XP_019066548.2	21aa	951	971	LRR	DeepLRR
XP_025883917.1	20aa	609	628	LRR	DeepLRR
XP_025883917.1	20aa	629	648	LRR	DeepLRR
XP_025883917.1	24aa	652	675	LRR	DeepLRR
XP_025883917.1	20aa	676	695	LRR	DeepLRR
XP_025883917.1	20aa	698	717	LRR	DeepLRR
XP_025883917.1	26aa	720	745	LRR	DeepLRR
XP_025883917.1	20aa	748	767	LRR	DeepLRR
XP_025883917.1	24aa	769	792	LRR	DeepLRR
XP_025883917.1	20aa	794	813	LRR	DeepLRR
XP_025883917.1	20aa	815	834	LRR	DeepLRR
XP_025883917.1	21aa	845	865	LRR	DeepLRR
XP_025883917.1	20aa	870	889	LRR	DeepLRR
XP_025883917.1	20aa	893	912	LRR	DeepLRR
XP_025883917.1	20aa	916	935	LRR	DeepLRR
XP_025883917.1	20aa	941	960	LRR	DeepLRR
XP_025883917.1	20aa	964	983	LRR	DeepLRR
XP_025883918.1	20aa	609	628	LRR	DeepLRR
XP_025883918.1	20aa	629	648	LRR	DeepLRR
XP_025883918.1	24aa	652	675	LRR	DeepLRR
XP_025883918.1	20aa	676	695	LRR	DeepLRR
XP_025883918.1	20aa	698	717	LRR	DeepLRR
XP_025883918.1	26aa	720	745	LRR	DeepLRR
XP_025883918.1	20aa	748	767	LRR	DeepLRR
XP_025883918.1	24aa	769	792	LRR	DeepLRR
XP_025883918.1	20aa	794	813	LRR	DeepLRR
XP_025883918.1	20aa	815	834	LRR	DeepLRR
XP_025883918.1	21aa	845	865	LRR	DeepLRR
XP_025883918.1	20aa	870	889	LRR	DeepLRR
XP_025883918.1	20aa	893	912	LRR	DeepLRR
XP_025883918.1	20aa	916	935	LRR	DeepLRR
XP_025883918.1	20aa	941	960	LRR	DeepLRR
XP_025883918.1	20aa	964	983	LRR	DeepLRR
XP_025884749.1	20aa	1281	1300	LRR	DeepLRR
XP_025884749.1	20aa	1307	1326	LRR	DeepLRR
XP_025884749.1	20aa	1331	1350	LRR	DeepLRR
XP_025884749.1	20aa	1431	1450	LRR	DeepLRR
XP_025884749.1	20aa	1456	1475	LRR	DeepLRR
XP_025884749.1	20aa	1479	1498	LRR	DeepLRR
XP_025884750.1	20aa	473	492	LRR	DeepLRR
XP_025884750.1	20aa	496	515	LRR	DeepLRR
XP_025884750.1	21aa	520	540	LRR	DeepLRR
XP_025884750.1	20aa	544	563	LRR	DeepLRR
XP_025884750.1	20aa	566	585	LRR	DeepLRR
XP_025884979.1	20aa	655	674	LRR	DeepLRR
XP_025884979.1	20aa	681	700	LRR	DeepLRR
XP_025884979.1	29aa	705	733	LRR	DeepLRR
XP_025884979.1	28aa	738	765	LRR	DeepLRR
XP_025886702.1	20aa	513	532	LRR	DeepLRR
XP_025886702.1	20aa	538	557	LRR	DeepLRR
XP_025886702.1	20aa	558	577	LRR	DeepLRR
XP_025886702.1	20aa	581	600	LRR	DeepLRR
XP_025886702.1	20aa	605	624	LRR	DeepLRR
XP_025886702.1	20aa	627	646	LRR	DeepLRR
XP_025886702.1	20aa	650	669	LRR	DeepLRR
XP_025886702.1	20aa	674	693	LRR	DeepLRR
XP_025886702.1	20aa	698	717	LRR	DeepLRR
XP_025886702.1	23aa	721	743	LRR	DeepLRR
XP_025886702.1	20aa	746	765	LRR	DeepLRR
XP_025886702.1	20aa	774	793	LRR	DeepLRR
XP_025886702.1	25aa	797	821	LRR	DeepLRR
XP_025886702.1	20aa	822	841	LRR	DeepLRR
XP_025886703.1	20aa	513	532	LRR	DeepLRR
XP_025886703.1	20aa	538	557	LRR	DeepLRR
XP_025886703.1	20aa	558	577	LRR	DeepLRR
XP_025886703.1	20aa	581	600	LRR	DeepLRR
XP_025886703.1	20aa	605	624	LRR	DeepLRR
XP_025886703.1	20aa	627	646	LRR	DeepLRR
XP_025886703.1	20aa	650	669	LRR	DeepLRR
XP_025886703.1	20aa	674	693	LRR	DeepLRR
XP_025886703.1	20aa	698	717	LRR	DeepLRR
XP_025886703.1	23aa	721	743	LRR	DeepLRR
XP_025886703.1	20aa	746	765	LRR	DeepLRR
XP_025886703.1	20aa	774	793	LRR	DeepLRR
XP_025886703.1	25aa	797	821	LRR	DeepLRR
XP_025886703.1	20aa	822	841	LRR	DeepLRR
XP_025886704.1	20aa	433	452	LRR	DeepLRR
XP_025886704.1	20aa	456	475	LRR	DeepLRR
XP_025886704.1	20aa	480	499	LRR	DeepLRR
XP_025886704.1	20aa	502	521	LRR	DeepLRR
XP_025886704.1	20aa	525	544	LRR	DeepLRR
XP_025886704.1	20aa	549	568	LRR	DeepLRR
XP_025886704.1	20aa	573	592	LRR	DeepLRR
XP_025886704.1	23aa	596	618	LRR	DeepLRR
XP_025886704.1	20aa	621	640	LRR	DeepLRR
XP_025886704.1	27aa	649	675	LRR	DeepLRR
XP_025886704.1	20aa	676	695	LRR	DeepLRR
XP_025886704.1	20aa	697	716	LRR	DeepLRR
XP_025888012.1	21aa	550	570	LRR	DeepLRR
XP_025888012.1	20aa	572	591	LRR	DeepLRR
XP_025888012.1	20aa	595	614	LRR	DeepLRR
XP_025888012.1	20aa	618	637	LRR	DeepLRR
XP_025888012.1	20aa	641	660	LRR	DeepLRR
XP_025888012.1	20aa	666	685	LRR	DeepLRR
XP_025888012.1	20aa	688	707	LRR	DeepLRR
XP_025888012.1	20aa	712	731	LRR	DeepLRR
XP_025888012.1	20aa	732	751	LRR	DeepLRR
XP_025888012.1	20aa	753	772	LRR	DeepLRR
